id,project_name,repo_name,language,version_tag,repo_url,version_start_date,version_end_date,i1_robustness,i2_scalability,i3_usability,i4_effectiveness,i5_corrections,i6_improvements,i7_security,i8_testing_process,i9_coverage,i10_license_type,i11_dual_licensing,i12_commercial_resources,i13_commercial_training,i14_industry_adoption,i15_ngo_support,i16_corporate_support,i17_donations,i18_installability,i19_configurability,i20_self_contained,i21_resource_utilization,i22_complexity,i23_modularity,i24_instability,i25_cohesion,i26_governance_model,i27_project_road_map,i28_code_of_conduct,i29_coding_standards,i30_documentation_standards,i31_devs_attracted,i32_devs_active,i33_nof_open_issues,i34_open_vs_closed_issues,i35_documendation,i36_localization_process,i37_issue_tracking,i38_user_guide,g1_architecture,g2_maintenability,g3_security_testing,g4_license,g5_market,g6_support,g7_initialization,g8_dependencies,g9_reuse,g10_dev_process_governance,g11_developer_base,g12_user_base,d1_source_code,d2_business_legal,d3_integration_reuse,d4_social,analysis_complete,auto_expert_value
82,WP Gutenberg,WordPress/gutenberg,PHP,8.2,https://github.com/WordPress/gutenberg,2020-05-28,2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,WP Gutenberg,WordPress/gutenberg,PHP,8.3,https://github.com/WordPress/gutenberg,2020-06-11,2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,WP Gutenberg,WordPress/gutenberg,PHP,8.4,https://github.com/WordPress/gutenberg,2020-06-24,2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,WP Gutenberg,WordPress/gutenberg,PHP,8.5,https://github.com/WordPress/gutenberg,2020-07-09,2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,WP Gutenberg,WordPress/gutenberg,PHP,8.6,https://github.com/WordPress/gutenberg,2020-07-28,2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,WP Gutenberg,WordPress/gutenberg,PHP,8.7,https://github.com/WordPress/gutenberg,2020-08-11,2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,WP Gutenberg,WordPress/gutenberg,PHP,8.8,https://github.com/WordPress/gutenberg,2020-08-19,2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,WP Gutenberg,WordPress/gutenberg,PHP,8.9,https://github.com/WordPress/gutenberg,2020-09-08,2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,WP Gutenberg,WordPress/gutenberg,PHP,9,https://github.com/WordPress/gutenberg,2020-09-16,2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,WP Gutenberg,WordPress/gutenberg,PHP,9.1,https://github.com/WordPress/gutenberg,2020-09-30,2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
